index,train_loss,train_acc,train_precision,train_recall,train_f1-score,val_loss,val_acc,val_precision,val_recall,val_f1-score
1,0.2715964189899916,89.208984375,89.02595001426336,89.1589868937689,89.08666678733348,0.26854949520948607,89.38301849365234,89.68664522929538,88.77719437192613,89.11029008768699
2,0.20922613351351835,92.00106811523438,91.84929917478618,91.97665723567344,91.90830791672933,0.33602133880441004,88.58173370361328,90.15480032271077,87.37526033263912,88.07812568346398
3,0.1891267922156575,92.90660095214844,92.77761034634466,92.86981671424314,92.82142423206261,0.32633810189480966,86.77884674072266,89.02399896173938,85.28057258513977,86.06214232290858
4,0.16789478552527726,93.47478485107422,93.35470477822663,93.4401477484775,93.39552154865217,0.2551038270720687,89.26282501220703,90.5655032948159,88.18143596061522,88.83243103909972
5,0.15558781172148883,94.14506530761719,94.025951543188,94.1313244047619,94.0757372899831,0.23190544247149658,90.78526306152344,91.61874848505218,89.95648900491821,90.48414687512431
6,0.14878989686258137,94.23828125,94.12525271164188,94.2183206719888,94.16954752352864,0.34151698374308836,88.06089782714844,90.2818804454177,86.63205342563532,87.43754306792235
7,0.14386432560224255,94.59783172607422,94.49194758893938,94.57541637307129,94.53194128530046,0.21118585512233087,91.86698913574219,92.37468753935062,91.23923225093623,91.6448328407565
8,0.13851300223772836,94.73987579345703,94.64074977907757,94.71238251300628,94.6752984459091,0.2449163604193391,91.786865234375,92.53185337314724,91.03820167590663,91.5344405555358
9,0.12955534995787524,94.9973373413086,94.90281942953209,94.97131170725633,94.93591674982241,0.22230082787931538,92.82852935791016,93.51906197835335,92.145629833876,92.6185262131832
10,0.12946581417186695,94.90412139892578,94.81002486006273,94.8741717036938,94.84109458955797,0.24643389448428002,90.5849380493164,91.86575811079231,89.56860559482952,90.22180805530573
11,0.12508692404530433,95.30805969238281,95.20961799171283,95.2960768921539,95.25101873583822,0.2666655746407998,91.8269271850586,92.20072474828093,91.2733566043824,91.62023529907418
12,0.11521526906025512,95.4856185913086,95.40985002786275,95.44735840949227,95.42827637867188,0.22830814514786768,91.9471206665039,92.1628763294878,91.50010266639288,91.76518188719504
13,0.11373570973095908,95.61878204345703,95.5352707257779,95.59442921545993,95.56402525288118,0.22771145016528094,91.70673370361328,92.42612034606785,90.9668240884691,91.45428156748912
14,0.11399442097172141,95.60990905761719,95.53387140677037,95.5767084563413,95.55485873046803,0.3466959906307658,89.10256958007812,91.29969125473875,87.72950827686682,88.55067497375927
15,0.10551438101207498,95.9694595336914,95.8820066491078,95.9617019884877,95.92033825289191,0.5728921369076349,82.09134674072266,86.73788330932291,79.78850723064738,80.50016018115065
16,0.10026227858245627,96.13369750976562,96.05614053133621,96.11746430651134,96.08592161621729,0.3704775350783259,87.5,89.04723021261987,86.25208999442668,86.93739965097157
17,0.10455285327307964,96.03160095214844,95.95888817323734,96.00505565659634,95.98148154710432,0.3550171426330239,87.17948913574219,89.26357285693521,85.74716689644383,86.51516942141782
18,0.09873392301696268,96.27574157714844,96.19898228578025,96.26233378609732,96.22972242939875,0.23211589166655755,91.9871826171875,92.79789361824538,91.2166456445005,91.73498986741546
19,0.09075046756135469,96.49768829345703,96.4311191440008,96.4768090613479,96.45349079182068,0.3396078050793268,90.02404022216797,91.31736775192084,88.97920272212608,89.63259936835162
20,0.09394337424204093,96.49768829345703,96.42881230666941,96.47993018981211,96.45377506404375,0.327004879904099,88.62179565429688,90.66167063604097,87.271322832028,88.0587279650527
21,0.09140185765202412,96.533203125,96.4687658556043,96.51079254022392,96.48937983290662,0.24058798471322426,91.34615325927734,91.63809558000801,90.82514446628142,91.13636363636363
22,0.08912103153786367,96.59978485107422,96.53173266426043,96.5838745317019,96.5571848756573,0.22042934401916006,92.22756958007812,92.70452817547005,91.63024454157011,92.02058133165646
23,0.0884879322336267,96.52432250976562,96.45754151529039,96.50496912553714,96.480742554051,0.28493208318757707,91.02564239501953,91.82806997325667,90.2204883009201,90.73781528642161
24,0.08311122010028074,96.9460220336914,96.88041285387214,96.9366539988782,96.90782055461219,0.33318394312682825,89.90384674072266,91.22916751713683,88.84221642075622,89.502579494355
25,0.08048906140505675,96.96377563476562,96.91081153239315,96.93928746540522,96.92487109312108,0.2697575045749545,89.98397827148438,91.0521237705542,89.0233003823101,89.61901795909893
26,0.0868978681907968,96.7551498413086,96.70699430242448,96.719342785191,96.71313510546884,0.3426356912136842,89.90384674072266,91.61256825508713,88.71256343316418,89.4567385539624
27,0.07699623817726123,97.0703125,97.01019262467673,97.05741618407883,97.03330852470788,0.34353644667694777,89.98397827148438,91.7957710594842,88.76399440712603,89.5295267346084
28,0.0773862474174662,97.16352844238281,97.10026542020492,97.15759500915752,97.12819177206836,0.3091937651535353,89.22276306152344,90.915559772296,88.00612087256656,88.73964882175557
29,0.07675699558140794,97.15021514892578,97.08167477134725,97.15077599257852,97.11513927316085,0.34312702432418096,89.78365325927734,91.59259675967597,88.55563051831862,89.31825142756446
30,0.08025049504265719,97.01704406738281,96.96264473899876,96.99660645406065,96.97936867970256,0.32427891904416567,89.98397827148438,90.79335849774574,89.13300675642643,89.65362869128352
31,0.07624710793606937,97.18572235107422,97.12542691332018,97.1764304075089,97.15034965216344,0.33214548265842053,89.98397827148438,91.73163315763449,88.78394102060173,89.53680228580626
32,0.07386861187644006,97.22567749023438,97.18077326138226,97.19899054389084,97.1898101181641,0.33333222527439016,89.42308044433594,90.93727057671916,88.27432460180106,88.97349397590362
33,0.07216333625547122,97.23455047607422,97.18647147232845,97.21221831152214,97.19919997656858,0.329265703411343,89.70352935791016,90.9455586205754,88.66377245216235,89.30296476728054
34,0.06977691457855557,97.30557250976562,97.25993227932867,97.28198706020909,97.27085440112641,0.2701064065242043,91.62660217285156,92.95651682575033,90.63614052584748,91.30643313349138
35,0.06840429564974991,97.55859375,97.50753766101661,97.54788335696202,97.52735862415898,0.32913040830037343,90.74519348144531,92.20794172150158,89.67146754275322,90.36948090744445
36,0.06502142775570974,97.54527282714844,97.5017217747933,97.52581750388302,97.51364494863742,0.3293143033515662,90.98558044433594,91.77472779167695,90.18479950720132,90.69782079557152
37,0.06245384093067101,97.7272720336914,97.68309324007419,97.71389324960754,97.69828863346106,0.2942090397178291,91.26602935791016,92.24502233617355,90.39472783628133,90.9671807300918
38,0.06414376863606529,97.46981811523438,97.42150517407913,97.45405132128364,97.4375478927203,0.25490895334858066,92.1875,92.76664805249197,91.53471590742424,91.96758384057159
39,0.06545510925008619,97.5363998413086,97.48490698459334,97.52604348517224,97.50510657833127,0.2995001710936403,91.18589782714844,92.44241058372185,90.2036705679896,90.85324414002639
